Name,Team,Number,Position,Age,Nage,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,25,06-Feb,180,Texas,7730337.0
Jae Crowder,Boston Celtics,99,SF,25,25,06-Jun,235,Marquette,6796117.0
John Holland,Boston Celtics,30,SG,27,27,06-May,205,Boston University,
R.J. Hunter,Boston Celtics,28,SG,22,22,06-May,185,Georgia State,1148640.0
Jonas Jerebko,Boston Celtics,8,PF,29,29,06-Oct,231,,5000000.0
Amir Johnson,Boston Celtics,90,PF,29,29,06-Sep,240,,12000000.0
Jordan Mickey,Boston Celtics,55,PF,21,21,06-Aug,235,LSU,1170960.0
Kelly Olynyk,Boston Celtics,41,C,25,25,7-0,238,Gonzaga,2165160.0
Terry Rozier,Boston Celtics,12,PG,22,22,06-Feb,190,Louisville,1824360.0
Marcus Smart,Boston Celtics,36,PG,22,22,06-Apr,220,Oklahoma State,3431040.0
Jared Sullinger,Boston Celtics,7,C,24,24,06-Sep,260,Ohio State,2569260.0
Isaiah Thomas,Boston Celtics,4,PG,27,27,05-Sep,185,Washington,6912869.0
Evan Turner,Boston Celtics,11,SG,27,27,06-Jul,220,Ohio State,3425510.0
James Young,Boston Celtics,13,SG,20,20,06-Jun,215,Kentucky,1749840.0
Tyler Zeller,Boston Celtics,44,C,26,26,7-0,253,North Carolina,2616975.0
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,27,06-Aug,216,,3425510.0
Markel Brown,Brooklyn Nets,22,SG,24,24,06-Mar,190,Oklahoma State,845059.0
Wayne Ellington,Brooklyn Nets,21,SG,28,28,06-Apr,200,North Carolina,1500000.0
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,21,06-Jul,220,Arizona,1335480.0
Jarrett Jack,Brooklyn Nets,2,PG,32,32,06-Mar,200,Georgia Tech,6300000.0
Sergey Karasev,Brooklyn Nets,10,SG,22,22,06-Jul,208,,1599840.0
Sean Kilpatrick,Brooklyn Nets,6,SG,26,26,06-Apr,219,Cincinnati,134215.0
Shane Larkin,Brooklyn Nets,0,PG,23,23,05-Nov,175,Miami (FL),1500000.0
Brook Lopez,Brooklyn Nets,11,C,28,28,7-0,275,Stanford,19689000.0
Chris McCullough,Brooklyn Nets,1,PF,21,21,06-Nov,200,Syracuse,1140240.0
Willie Reed,Brooklyn Nets,33,PF,26,26,06-Oct,220,Saint Louis,947276.0
Thomas Robinson,Brooklyn Nets,41,PF,25,25,06-Oct,237,Kansas,981348.0
Henry Sims,Brooklyn Nets,14,C,26,26,06-Oct,248,Georgetown,947276.0
Donald Sloan,Brooklyn Nets,15,PG,28,28,06-Mar,205,Texas A&M,947276.0
Thaddeus Young,Brooklyn Nets,30,PF,27,27,06-Aug,221,Georgia Tech,11235955.0
Arron Afflalo,New York Knicks,4,SG,30,30,06-May,210,UCLA,8000000.0
Lou Amundson,New York Knicks,17,PF,33,33,06-Sep,220,UNLV,1635476.0
Thanasis Antetokounmpo,New York Knicks,43,SF,23,23,06-Jul,205,,30888.0
Carmelo Anthony,New York Knicks,7,SF,32,32,06-Aug,240,Syracuse,22875000.0
Jose Calderon,New York Knicks,3,PG,34,34,06-Mar,200,,7402812.0
Cleanthony Early,New York Knicks,11,SF,25,25,06-Aug,210,Wichita State,845059.0
Langston Galloway,New York Knicks,2,SG,24,24,06-Feb,200,Saint Joseph's,845059.0
Jerian Grant,New York Knicks,13,PG,23,23,06-Apr,195,Notre Dame,1572360.0
Robin Lopez,New York Knicks,8,C,28,28,7-0,255,Stanford,12650000.0
Kyle O'Quinn,New York Knicks,9,PF,26,26,06-Oct,250,Norfolk State,3750000.0
Kristaps Porzingis,New York Knicks,6,PF,20,20,07-Mar,240,,4131720.0
Kevin Seraphin,New York Knicks,1,C,26,26,06-Oct,278,,2814000.0
Lance Thomas,New York Knicks,42,SF,28,28,06-Aug,235,Duke,1636842.0
Sasha Vujacic,New York Knicks,18,SG,32,32,06-Jul,195,,947276.0
Derrick Williams,New York Knicks,23,PF,25,25,06-Aug,240,Arizona,4000000.0
Tony Wroten,New York Knicks,5,SG,23,23,06-Jun,205,Washington,167406.0
Elton Brand,Philadelphia 76ers,42,PF,37,37,06-Sep,254,Duke,
Isaiah Canaan,Philadelphia 76ers,0,PG,25,25,6-0,201,Murray State,947276.0
Robert Covington,Philadelphia 76ers,33,SF,25,25,06-Sep,215,Tennessee State,1000000.0
Joel Embiid,Philadelphia 76ers,21,C,22,22,7-0,250,Kansas,4626960.0
Jerami Grant,Philadelphia 76ers,39,SF,22,22,06-Aug,210,Syracuse,845059.0
Richaun Holmes,Philadelphia 76ers,22,PF,22,22,06-Oct,245,Bowling Green,1074169.0
Carl Landry,Philadelphia 76ers,7,PF,32,32,06-Sep,248,Purdue,6500000.0
Kendall Marshall,Philadelphia 76ers,5,PG,24,24,06-Apr,200,North Carolina,2144772.0
T.J. McConnell,Philadelphia 76ers,12,PG,24,24,06-Feb,200,Arizona,525093.0
Nerlens Noel,Philadelphia 76ers,4,PF,22,22,06-Nov,228,Kentucky,3457800.0
Jahlil Okafor,Philadelphia 76ers,8,C,20,20,06-Nov,275,Duke,4582680.0
Ish Smith,Philadelphia 76ers,1,PG,27,27,6-0,175,Wake Forest,947276.0
Nik Stauskas,Philadelphia 76ers,11,SG,22,22,06-Jun,205,Michigan,2869440.0
Hollis Thompson,Philadelphia 76ers,31,SG,25,25,06-Aug,206,Georgetown,947276.0
Christian Wood,Philadelphia 76ers,35,PF,20,20,06-Nov,220,UNLV,525093.0
Bismack Biyombo,Toronto Raptors,8,C,23,23,06-Sep,245,,2814000.0
Bruno Caboclo,Toronto Raptors,20,SF,20,20,06-Sep,205,,1524000.0
DeMarre Carroll,Toronto Raptors,5,SF,29,29,06-Aug,212,Missouri,13600000.0
DeMar DeRozan,Toronto Raptors,10,SG,26,26,06-Jul,220,USC,10050000.0
James Johnson,Toronto Raptors,3,PF,29,29,06-Sep,250,Wake Forest,2500000.0
Cory Joseph,Toronto Raptors,6,PG,24,24,06-Mar,190,Texas,7000000.0
Kyle Lowry,Toronto Raptors,7,PG,30,30,6-0,205,Villanova,12000000.0
Lucas Nogueira,Toronto Raptors,92,C,23,23,7-0,220,,1842000.0
Patrick Patterson,Toronto Raptors,54,PF,27,27,06-Sep,235,Kentucky,6268675.0
Norman Powell,Toronto Raptors,24,SG,23,23,06-Apr,215,UCLA,650000.0
Terrence Ross,Toronto Raptors,31,SF,25,25,06-Jul,195,Washington,3553917.0
Luis Scola,Toronto Raptors,4,PF,36,36,06-Sep,240,,2900000.0
Jason Thompson,Toronto Raptors,1,PF,29,29,06-Nov,250,Rider,245177.0
Jonas Valanciunas,Toronto Raptors,17,C,24,24,7-0,255,,4660482.0
Delon Wright,Toronto Raptors,55,PG,24,24,06-May,190,Utah,1509360.0
Leandro Barbosa,Golden State Warriors,19,SG,33,33,06-Mar,194,,2500000.0
Harrison Barnes,Golden State Warriors,40,SF,24,24,06-Aug,225,North Carolina,3873398.0
Andrew Bogut,Golden State Warriors,12,C,31,31,7-0,260,Utah,13800000.0
Ian Clark,Golden State Warriors,21,SG,25,25,06-Mar,175,Belmont,947276.0
Stephen Curry,Golden State Warriors,30,PG,28,28,06-Mar,190,Davidson,11370786.0
Festus Ezeli,Golden State Warriors,31,C,26,26,06-Nov,265,Vanderbilt,2008748.0
Draymond Green,Golden State Warriors,23,PF,26,26,06-Jul,230,Michigan State,14260870.0
Andre Iguodala,Golden State Warriors,9,SF,32,32,06-Jun,215,Arizona,11710456.0
Shaun Livingston,Golden State Warriors,34,PG,30,30,06-Jul,192,,5543725.0
Kevon Looney,Golden State Warriors,36,SF,20,20,06-Sep,220,UCLA,1131960.0
James Michael McAdoo,Golden State Warriors,20,SF,23,23,06-Sep,240,North Carolina,845059.0
Brandon Rush,Golden State Warriors,4,SF,30,30,06-Jun,220,Kansas,1270964.0
Marreese Speights,Golden State Warriors,5,C,28,28,06-Oct,255,Florida,3815000.0
Klay Thompson,Golden State Warriors,11,SG,26,26,06-Jul,215,Washington State,15501000.0
Anderson Varejao,Golden State Warriors,18,PF,33,33,06-Nov,273,,289755.0
Cole Aldrich,Los Angeles Clippers,45,C,27,27,06-Nov,250,Kansas,1100602.0
Jeff Ayres,Los Angeles Clippers,19,PF,29,29,06-Sep,250,Arizona State,111444.0
Jamal Crawford,Los Angeles Clippers,11,SG,36,36,06-May,195,Michigan,5675000.0
Branden Dawson,Los Angeles Clippers,22,SF,23,23,06-Jun,225,Michigan State,525093.0
Jeff Green,Los Angeles Clippers,8,SF,29,29,06-Sep,235,Georgetown,9650000.0
Blake Griffin,Los Angeles Clippers,32,PF,27,27,06-Oct,251,Oklahoma,18907726.0
Wesley Johnson,Los Angeles Clippers,33,SF,28,28,06-Jul,215,Syracuse,1100602.0
DeAndre Jordan,Los Angeles Clippers,6,C,27,27,06-Nov,265,Texas A&M,19689000.0
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,29,06-Aug,230,UCLA,947276.0
Chris Paul,Los Angeles Clippers,3,PG,31,31,6-0,175,Wake Forest,21468695.0
Paul Pierce,Los Angeles Clippers,34,SF,38,38,06-Jul,235,Kansas,3376000.0
Pablo Prigioni,Los Angeles Clippers,9,PG,39,39,06-Mar,185,,947726.0
JJ Redick,Los Angeles Clippers,4,SG,31,31,06-Apr,190,Duke,7085000.0
Austin Rivers,Los Angeles Clippers,25,PG,23,23,06-Apr,200,Duke,3110796.0
C.J. Wilcox,Los Angeles Clippers,30,SG,25,25,06-May,195,Washington,1159680.0
Brandon Bass,Los Angeles Lakers,2,PF,31,31,06-Aug,250,LSU,3000000.0
Tarik Black,Los Angeles Lakers,28,C,24,24,06-Sep,250,Kansas,845059.0
Anthony Brown,Los Angeles Lakers,3,SF,23,23,06-Jul,210,Stanford,700000.0
Kobe Bryant,Los Angeles Lakers,24,SF,37,37,06-Jun,212,,25000000.0
Jordan Clarkson,Los Angeles Lakers,6,PG,24,24,06-May,194,Missouri,845059.0
Roy Hibbert,Los Angeles Lakers,17,C,29,29,07-Feb,270,Georgetown,15592217.0
Marcelo Huertas,Los Angeles Lakers,9,PG,33,33,06-Mar,200,,525093.0
Ryan Kelly,Los Angeles Lakers,4,PF,25,25,06-Nov,230,Duke,1724250.0
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,23,06-Sep,230,Wyoming,1155600.0
Julius Randle,Los Angeles Lakers,30,PF,21,21,06-Sep,250,Kentucky,3132240.0
D'Angelo Russell,Los Angeles Lakers,1,PG,20,20,06-May,195,Ohio State,5103120.0
Robert Sacre,Los Angeles Lakers,50,C,27,27,7-0,270,Gonzaga,981348.0
Louis Williams,Los Angeles Lakers,23,SG,29,29,06-Jan,175,,7000000.0
Metta World Peace,Los Angeles Lakers,37,SF,36,36,06-Jul,260,St. John's,947276.0
Nick Young,Los Angeles Lakers,0,SF,31,31,06-Jul,210,USC,5219169.0
Eric Bledsoe,Phoenix Suns,2,PG,26,26,06-Jan,190,Kentucky,13500000.0
Devin Booker,Phoenix Suns,1,SG,19,19,06-Jun,206,Kentucky,2127840.0
Chase Budinger,Phoenix Suns,10,SF,28,28,06-Jul,209,Arizona,206192.0
Tyson Chandler,Phoenix Suns,4,C,33,33,07-Jan,240,,13000000.0
Archie Goodwin,Phoenix Suns,20,SG,21,21,06-May,200,Kentucky,1160160.0
John Jenkins,Phoenix Suns,23,SG,25,25,06-Apr,215,Vanderbilt,981348.0
Brandon Knight,Phoenix Suns,3,PG,24,24,06-Mar,189,Kentucky,13500000.0
Alex Len,Phoenix Suns,21,C,22,22,07-Jan,260,Maryland,3807120.0
Jon Leuer,Phoenix Suns,30,PF,27,27,06-Oct,228,Wisconsin,1035000.0
Phil Pressey,Phoenix Suns,25,PG,25,25,05-Nov,175,Missouri,55722.0
Ronnie Price,Phoenix Suns,14,PG,32,32,06-Feb,190,Utah Valley,947276.0
Mirza Teletovic,Phoenix Suns,35,PF,30,30,06-Sep,242,,5500000.0
P.J. Tucker,Phoenix Suns,17,SF,31,31,06-Jun,245,Texas,5500000.0
T.J. Warren,Phoenix Suns,12,SF,22,22,06-Aug,230,North Carolina State,2041080.0
Alan Williams,Phoenix Suns,15,C,23,23,06-Aug,260,UC Santa Barbara,83397.0
Quincy Acy,Sacramento Kings,13,SF,25,25,06-Jul,240,Baylor,981348.0
James Anderson,Sacramento Kings,5,SG,27,27,06-Jun,213,Oklahoma State,1015421.0
Marco Belinelli,Sacramento Kings,3,SG,30,30,06-May,210,,6060606.0
Caron Butler,Sacramento Kings,31,SF,36,36,06-Jul,228,Connecticut,1449187.0
Omri Casspi,Sacramento Kings,18,SF,27,27,06-Sep,225,,2836186.0
Willie Cauley-Stein,Sacramento Kings,0,C,22,22,7-0,240,Kentucky,3398280.0
Darren Collison,Sacramento Kings,7,PG,28,28,6-0,175,UCLA,5013559.0
DeMarcus Cousins,Sacramento Kings,15,C,25,25,06-Nov,270,Kentucky,15851950.0
Seth Curry,Sacramento Kings,30,SG,25,25,06-Feb,185,Duke,947276.0
Duje Dukan,Sacramento Kings,26,PF,24,24,06-Sep,220,Wisconsin,525093.0
Rudy Gay,Sacramento Kings,8,SF,29,29,06-Aug,230,Connecticut,12403101.0
Kosta Koufos,Sacramento Kings,41,C,27,27,7-0,265,Ohio State,7700000.0
Ben McLemore,Sacramento Kings,23,SG,23,23,06-May,195,Kansas,3156600.0
Eric Moreland,Sacramento Kings,25,PF,24,24,06-Oct,238,Oregon State,845059.0
Rajon Rondo,Sacramento Kings,9,PG,30,30,06-Jan,186,Kentucky,9500000.0
Cameron Bairstow,Chicago Bulls,41,PF,25,25,06-Sep,250,New Mexico,845059.0
Aaron Brooks,Chicago Bulls,0,PG,31,31,6-0,161,Oregon,2250000.0
Jimmy Butler,Chicago Bulls,21,SG,26,26,06-Jul,220,Marquette,16407500.0
Mike Dunleavy,Chicago Bulls,34,SG,35,35,06-Sep,230,Duke,4500000.0
Cristiano Felicio,Chicago Bulls,6,PF,23,23,06-Oct,275,,525093.0
Pau Gasol,Chicago Bulls,16,C,35,35,7-0,250,,7448760.0
Taj Gibson,Chicago Bulls,22,PF,30,30,06-Sep,225,USC,8500000.0
Justin Holiday,Chicago Bulls,7,SG,27,27,06-Jun,185,Washington,947276.0
Doug McDermott,Chicago Bulls,3,SF,24,24,06-Aug,225,Creighton,2380440.0
Nikola Mirotic,Chicago Bulls,44,PF,25,25,06-Oct,220,,5543725.0
E'Twaun Moore,Chicago Bulls,55,SG,27,27,06-Apr,191,Purdue,1015421.0
Joakim Noah,Chicago Bulls,13,C,31,31,06-Nov,232,Florida,13400000.0
Bobby Portis,Chicago Bulls,5,PF,21,21,06-Nov,230,Arkansas,1391160.0
Derrick Rose,Chicago Bulls,1,PG,27,27,06-Mar,190,Memphis,20093064.0
Tony Snell,Chicago Bulls,20,SF,24,24,06-Jul,200,New Mexico,1535880.0
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,25,06-Apr,198,Saint Mary's,1147276.0
Channing Frye,Cleveland Cavaliers,9,PF,33,33,06-Nov,255,Arizona,8193029.0
Kyrie Irving,Cleveland Cavaliers,2,PG,24,24,06-Mar,193,Duke,16407501.0
LeBron James,Cleveland Cavaliers,23,SF,31,31,06-Aug,250,,22970500.0
Richard Jefferson,Cleveland Cavaliers,24,SF,35,35,06-Jul,233,Arizona,947276.0
Dahntay Jones,Cleveland Cavaliers,30,SG,35,35,06-Jun,225,Duke,
James Jones,Cleveland Cavaliers,1,SG,35,35,06-Aug,218,Miami (FL),947276.0
Sasha Kaun,Cleveland Cavaliers,14,C,31,31,06-Nov,260,Kansas,1276000.0
Kevin Love,Cleveland Cavaliers,0,PF,27,27,06-Oct,251,UCLA,19689000.0
Jordan McRae,Cleveland Cavaliers,12,SG,25,25,06-May,179,Tennessee,111196.0
Timofey Mozgov,Cleveland Cavaliers,20,C,29,29,07-Jan,275,,4950000.0
Iman Shumpert,Cleveland Cavaliers,4,SG,25,25,06-May,220,Georgia Tech,8988765.0
J.R. Smith,Cleveland Cavaliers,5,SG,30,30,06-Jun,225,,5000000.0
Tristan Thompson,Cleveland Cavaliers,13,C,25,25,06-Sep,238,Texas,14260870.0
Mo Williams,Cleveland Cavaliers,52,PG,33,33,06-Jan,198,Alabama,2100000.0
Joel Anthony,Detroit Pistons,50,C,33,33,06-Sep,245,UNLV,2500000.0
Aron Baynes,Detroit Pistons,12,C,29,29,06-Oct,260,Washington State,6500000.0
Steve Blake,Detroit Pistons,22,PG,36,36,06-Mar,172,Maryland,2170465.0
Lorenzo Brown,Detroit Pistons,17,PG,25,25,06-May,189,North Carolina State,111444.0
Reggie Bullock,Detroit Pistons,25,SF,25,25,06-Jul,205,North Carolina,1252440.0
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,23,06-May,205,Georgia,2891760.0
Spencer Dinwiddie,Detroit Pistons,8,PG,23,23,06-Jun,200,Colorado,845059.0
Andre Drummond,Detroit Pistons,0,C,22,22,06-Nov,279,Connecticut,3272091.0
Tobias Harris,Detroit Pistons,34,SF,23,23,06-Sep,235,Tennessee,16000000.0
Darrun Hilliard,Detroit Pistons,6,SF,23,23,06-Jun,205,Villanova,600000.0
Reggie Jackson,Detroit Pistons,1,PG,26,26,06-Mar,208,Boston College,13913044.0
Stanley Johnson,Detroit Pistons,3,SF,20,20,06-Jul,245,Arizona,2841960.0
Jodie Meeks,Detroit Pistons,20,SG,28,28,06-Apr,210,Kentucky,6270000.0
Marcus Morris,Detroit Pistons,13,PF,26,26,06-Sep,235,Kansas,5000000.0
Anthony Tolliver,Detroit Pistons,43,PF,31,31,06-Aug,240,Creighton,3000000.0
Lavoy Allen,Indiana Pacers,5,PF,27,27,06-Sep,255,Temple,4050000.0
Rakeem Christmas,Indiana Pacers,25,PF,24,24,06-Sep,250,Syracuse,1007026.0
Monta Ellis,Indiana Pacers,11,SG,30,30,06-Mar,185,,10300000.0
Paul George,Indiana Pacers,13,SF,26,26,06-Sep,220,Fresno State,17120106.0
George Hill,Indiana Pacers,3,PG,30,30,06-Mar,188,IUPUI,8000000.0
Jordan Hill,Indiana Pacers,27,C,28,28,06-Oct,235,Arizona,4000000.0
Solomon Hill,Indiana Pacers,44,SF,25,25,06-Jul,225,Arizona,1358880.0
Ty Lawson,Indiana Pacers,10,PG,28,28,05-Nov,195,North Carolina,211744.0
Ian Mahinmi,Indiana Pacers,28,C,29,29,06-Nov,250,,4000000.0
C.J. Miles,Indiana Pacers,0,SF,29,29,06-Jun,231,,4394225.0
Glenn Robinson III,Indiana Pacers,40,SG,22,22,06-Jul,222,Michigan,1100000.0
Rodney Stuckey,Indiana Pacers,2,PG,30,30,06-May,205,Eastern Washington,7000000.0
Myles Turner,Indiana Pacers,33,PF,20,20,06-Nov,243,Texas,2357760.0
Shayne Whittington,Indiana Pacers,42,PF,25,25,06-Nov,250,Western Michigan,845059.0
Joe Young,Indiana Pacers,1,PG,23,23,06-Feb,180,Oregon,1007026.0
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,21,06-Nov,222,,1953960.0
Jerryd Bayless,Milwaukee Bucks,19,PG,27,27,06-Mar,200,Arizona,3000000.0
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,24,06-Jun,190,Syracuse,2399040.0
Jared Cunningham,Milwaukee Bucks,9,SG,25,25,06-Apr,195,Oregon State,947276.0
Tyler Ennis,Milwaukee Bucks,11,PG,21,21,06-Mar,194,Syracuse,1662360.0
John Henson,Milwaukee Bucks,31,PF,25,25,06-Nov,229,North Carolina,2943221.0
Damien Inglis,Milwaukee Bucks,17,SF,21,21,06-Aug,246,,855000.0
O.J. Mayo,Milwaukee Bucks,3,SG,28,28,06-May,210,USC,8000000.0
Khris Middleton,Milwaukee Bucks,22,SG,24,24,06-Aug,234,Texas A&M,14700000.0
Greg Monroe,Milwaukee Bucks,15,C,26,26,06-Nov,265,Georgetown,16407500.0
Steve Novak,Milwaukee Bucks,6,SF,32,32,06-Oct,225,Marquette,295327.0
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,23,06-Sep,257,LSU,845059.0
Jabari Parker,Milwaukee Bucks,12,PF,21,21,06-Aug,250,Duke,5152440.0
Miles Plumlee,Milwaukee Bucks,18,C,27,27,06-Nov,249,Duke,2109294.0
Greivis Vasquez,Milwaukee Bucks,21,PG,29,29,06-Jun,217,Maryland,6600000.0
Rashad Vaughn,Milwaukee Bucks,20,SG,19,19,06-Jun,202,UNLV,1733040.0
