Name,Team,Number,Position,Age,Nage,Height,Weight,College,Salary
Justin Anderson,Dallas Mavericks,1,SG,22,22,06-Jun,228,Virginia,1449000.0
J.J. Barea,Dallas Mavericks,5,PG,31,31,6-0,185,Northeastern,4290000.0
Jeremy Evans,Dallas Mavericks,21,SF,28,28,06-Sep,200,Western Kentucky,1100602.0
Raymond Felton,Dallas Mavericks,2,PG,31,31,06-Jan,205,North Carolina,3950313.0
Devin Harris,Dallas Mavericks,34,PG,33,33,06-Mar,185,Wisconsin,4053446.0
David Lee,Dallas Mavericks,42,PF,33,33,06-Sep,245,Florida,2085671.0
Wesley Matthews,Dallas Mavericks,23,SG,29,29,06-May,220,Marquette,16407500.0
JaVale McGee,Dallas Mavericks,11,C,28,28,7-0,270,Nevada,1270964.0
Salah Mejri,Dallas Mavericks,50,C,29,29,07-Feb,245,,525093.0
Dirk Nowitzki,Dallas Mavericks,41,PF,37,37,7-0,245,,8333334.0
Zaza Pachulia,Dallas Mavericks,27,C,32,32,06-Nov,275,,5200000.0
Chandler Parsons,Dallas Mavericks,25,SF,27,27,06-Oct,230,Florida,15361500.0
Dwight Powell,Dallas Mavericks,7,PF,24,24,06-Nov,240,Stanford,845059.0
Charlie Villanueva,Dallas Mavericks,3,PF,31,31,06-Nov,232,Connecticut,947276.0
Deron Williams,Dallas Mavericks,8,PG,31,31,06-Mar,200,Illinois,5378974.0
Trevor Ariza,Houston Rockets,1,SF,30,30,06-Aug,215,UCLA,8193030.0
Michael Beasley,Houston Rockets,8,SF,27,27,06-Oct,235,Kansas State,306527.0
Patrick Beverley,Houston Rockets,2,PG,27,27,06-Jan,185,Arkansas,6486486.0
Corey Brewer,Houston Rockets,33,SG,30,30,06-Sep,186,Florida,8229375.0
Clint Capela,Houston Rockets,15,PF,22,22,06-Oct,240,,1242720.0
Sam Dekker,Houston Rockets,7,SF,22,22,06-Sep,230,Wisconsin,1646400.0
Andrew Goudelock,Houston Rockets,0,PG,27,27,06-Mar,200,Charleston,200600.0
James Harden,Houston Rockets,13,SG,26,26,06-May,220,Arizona State,15756438.0
Montrezl Harrell,Houston Rockets,35,PF,22,22,06-Aug,240,Louisville,1000000.0
Dwight Howard,Houston Rockets,12,C,30,30,06-Nov,265,,22359364.0
Terrence Jones,Houston Rockets,6,PF,24,24,06-Sep,252,Kentucky,2489530.0
K.J. McDaniels,Houston Rockets,32,SG,23,23,06-Jun,205,Clemson,3189794.0
Donatas Motiejunas,Houston Rockets,20,PF,25,25,7-0,222,,2288205.0
Josh Smith,Houston Rockets,5,C,30,30,06-Sep,225,,947276.0
Jason Terry,Houston Rockets,31,SG,38,38,06-Feb,185,Arizona,947276.0
Jordan Adams,Memphis Grizzlies,3,SG,21,21,06-May,209,UCLA,1404600.0
Tony Allen,Memphis Grizzlies,9,SG,34,34,06-Apr,213,Oklahoma State,5158539.0
Chris Andersen,Memphis Grizzlies,7,PF,37,37,06-Oct,245,Blinn College,5000000.0
Matt Barnes,Memphis Grizzlies,22,SF,36,36,06-Jul,226,UCLA,3542500.0
Vince Carter,Memphis Grizzlies,15,SG,39,39,06-Jun,220,North Carolina,4088019.0
Mike Conley,Memphis Grizzlies,11,PG,28,28,06-Jan,175,Ohio State,9588426.0
Bryce Cotton,Memphis Grizzlies,8,PG,23,23,06-Jan,165,Providence,700902.0
Jordan Farmar,Memphis Grizzlies,4,PG,29,29,06-Feb,180,UCLA,
Marc Gasol,Memphis Grizzlies,33,C,31,31,07-Jan,255,,19688000.0
JaMychal Green,Memphis Grizzlies,0,PF,25,25,06-Sep,227,Alabama,845059.0
P.J. Hairston,Memphis Grizzlies,19,SF,23,23,06-Jun,230,North Carolina,1201440.0
Jarell Martin,Memphis Grizzlies,10,PF,22,22,06-Oct,239,LSU,1230840.0
Ray McCallum,Memphis Grizzlies,5,PG,24,24,06-Mar,190,Detroit,
Xavier Munford,Memphis Grizzlies,14,PG,24,24,06-Mar,180,Rhode Island,
Zach Randolph,Memphis Grizzlies,50,PF,34,34,06-Sep,260,Michigan State,9638555.0
Lance Stephenson,Memphis Grizzlies,1,SF,25,25,06-May,230,Cincinnati,9000000.0
Alex Stepheson,Memphis Grizzlies,35,PF,28,28,06-Oct,270,USC,
Brandan Wright,Memphis Grizzlies,34,PF,28,28,06-Oct,210,North Carolina,5464000.0
Alexis Ajinca,New Orleans Pelicans,42,C,28,28,07-Feb,248,,4389607.0
Ryan Anderson,New Orleans Pelicans,33,PF,28,28,06-Oct,240,California,8500000.0
Omer Asik,New Orleans Pelicans,3,C,29,29,7-0,255,,9213483.0
Luke Babbitt,New Orleans Pelicans,8,SF,26,26,06-Sep,225,Nevada,1100602.0
Norris Cole,New Orleans Pelicans,30,PG,27,27,06-Feb,175,Cleveland State,3036927.0
Dante Cunningham,New Orleans Pelicans,44,PF,29,29,06-Aug,230,Villanova,2850000.0
Anthony Davis,New Orleans Pelicans,23,PF,23,23,06-Oct,253,Kentucky,7070730.0
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,23,06-Jun,203,Iowa State,169883.0
Toney Douglas,New Orleans Pelicans,16,PG,30,30,06-Feb,195,Florida State,1164858.0
James Ennis,New Orleans Pelicans,4,SF,25,25,06-Jul,210,Long Beach State,845059.0
Tyreke Evans,New Orleans Pelicans,1,SG,26,26,06-Jun,220,Memphis,10734586.0
Tim Frazier,New Orleans Pelicans,2,PG,25,25,06-Jan,170,Penn State,845059.0
Alonzo Gee,New Orleans Pelicans,15,SF,29,29,06-Jun,225,Alabama,1320000.0
Eric Gordon,New Orleans Pelicans,10,SG,27,27,06-Apr,215,Indiana,15514031.0
Jordan Hamilton,New Orleans Pelicans,25,SG,25,25,06-Jul,220,Texas,1015421.0
Jrue Holiday,New Orleans Pelicans,11,PG,25,25,06-Apr,205,UCLA,10595507.0
Orlando Johnson,New Orleans Pelicans,0,SG,27,27,06-May,220,UC Santa Barbara,55722.0
Kendrick Perkins,New Orleans Pelicans,5,C,31,31,06-Oct,270,,947276.0
Quincy Pondexter,New Orleans Pelicans,20,SF,28,28,06-Jul,220,Washington,3382023.0
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,30,06-Nov,240,Texas,19689000.0
Kyle Anderson,San Antonio Spurs,1,SF,22,22,06-Sep,230,UCLA,1142880.0
Matt Bonner,San Antonio Spurs,15,C,36,36,06-Oct,235,Florida,947276.0
Boris Diaw,San Antonio Spurs,33,C,34,34,06-Aug,250,,7500000.0
Tim Duncan,San Antonio Spurs,21,C,40,40,06-Nov,250,Wake Forest,5250000.0
Manu Ginobili,San Antonio Spurs,20,SG,38,38,06-Jun,205,,2814000.0
Danny Green,San Antonio Spurs,14,SG,28,28,06-Jun,215,North Carolina,10000000.0
Kawhi Leonard,San Antonio Spurs,2,SF,24,24,06-Jul,230,San Diego State,16407500.0
Boban Marjanovic,San Antonio Spurs,40,C,27,27,07-Mar,290,,1200000.0
Kevin Martin,San Antonio Spurs,23,SG,33,33,06-Jul,199,Western Carolina,200600.0
Andre Miller,San Antonio Spurs,24,PG,40,40,06-Mar,200,Utah,250750.0
Patty Mills,San Antonio Spurs,8,PG,27,27,6-0,185,Saint Mary's,3578947.0
Tony Parker,San Antonio Spurs,9,PG,34,34,06-Feb,185,,13437500.0
Jonathon Simmons,San Antonio Spurs,17,SG,26,26,06-Jun,195,Houston,525093.0
David West,San Antonio Spurs,30,PF,35,35,06-Sep,250,Xavier,1499187.0
Kent Bazemore,Atlanta Hawks,24,SF,26,26,06-May,201,Old Dominion,2000000.0
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,24,06-Jun,205,Michigan,1304520.0
Kirk Hinrich,Atlanta Hawks,12,SG,35,35,06-Apr,190,Kansas,2854940.0
Al Horford,Atlanta Hawks,15,C,30,30,06-Oct,245,Florida,12000000.0
Kris Humphries,Atlanta Hawks,43,PF,31,31,06-Sep,235,Minnesota,1000000.0
Kyle Korver,Atlanta Hawks,26,SG,35,35,06-Jul,212,Creighton,5746479.0
Paul Millsap,Atlanta Hawks,4,PF,31,31,06-Aug,246,Louisiana Tech,18671659.0
Mike Muscala,Atlanta Hawks,31,PF,24,24,06-Nov,240,Bucknell,947276.0
Lamar Patterson,Atlanta Hawks,13,SG,24,24,06-May,225,Pittsburgh,525093.0
Dennis Schroder,Atlanta Hawks,17,PG,22,22,06-Jan,172,,1763400.0
Mike Scott,Atlanta Hawks,32,PF,27,27,06-Aug,237,Virginia,3333333.0
Thabo Sefolosha,Atlanta Hawks,25,SF,32,32,06-Jul,220,,4000000.0
Tiago Splitter,Atlanta Hawks,11,C,31,31,06-Nov,245,,9756250.0
Walter Tavares,Atlanta Hawks,22,C,24,24,07-Mar,260,,1000000.0
Jeff Teague,Atlanta Hawks,0,PG,27,27,06-Feb,186,Wake Forest,8000000.0
Nicolas Batum,Charlotte Hornets,5,SG,27,27,06-Aug,200,,13125306.0
Troy Daniels,Charlotte Hornets,30,SG,24,24,06-Apr,205,Virginia Commonwealth,947276.0
Jorge Gutierrez,Charlotte Hornets,12,PG,27,27,06-Mar,189,California,189455.0
Tyler Hansbrough,Charlotte Hornets,50,PF,30,30,06-Sep,250,North Carolina,947276.0
Aaron Harrison,Charlotte Hornets,9,SG,21,21,06-Jun,210,Kentucky,525093.0
Spencer Hawes,Charlotte Hornets,0,PF,28,28,07-Jan,245,Washington,6110034.0
Al Jefferson,Charlotte Hornets,25,C,31,31,06-Oct,289,,13500000.0
Frank Kaminsky III,Charlotte Hornets,44,C,23,23,7-0,240,Wisconsin,2612520.0
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,22,06-Jul,232,Kentucky,6331404.0
Jeremy Lamb,Charlotte Hornets,3,SG,24,24,06-May,185,Connecticut,3034356.0
Courtney Lee,Charlotte Hornets,1,SG,30,30,06-May,200,Western Kentucky,5675000.0
Jeremy Lin,Charlotte Hornets,7,PG,27,27,06-Mar,200,Harvard,2139000.0
Kemba Walker,Charlotte Hornets,15,PG,26,26,06-Jan,184,Connecticut,12000000.0
Marvin Williams,Charlotte Hornets,2,PF,29,29,06-Sep,237,North Carolina,7000000.0
Cody Zeller,Charlotte Hornets,40,C,23,23,7-0,240,Indiana,4204200.0
Chris Bosh,Miami Heat,1,PF,32,32,06-Nov,235,Georgia Tech,22192730.0
Luol Deng,Miami Heat,9,SF,31,31,06-Sep,220,Duke,10151612.0
Goran Dragic,Miami Heat,7,PG,30,30,06-Mar,190,,14783000.0
Gerald Green,Miami Heat,14,SF,30,30,06-Jul,205,,947276.0
Udonis Haslem,Miami Heat,40,PF,36,36,06-Aug,235,Florida,2854940.0
Joe Johnson,Miami Heat,2,SF,34,34,06-Jul,240,Arkansas,261894.0
Tyler Johnson,Miami Heat,8,SG,24,24,06-Apr,186,Fresno State,845059.0
Josh McRoberts,Miami Heat,4,PF,29,29,06-Oct,240,Duke,5543725.0
Josh Richardson,Miami Heat,0,SG,22,22,06-Jun,200,Tennessee,525093.0
Amar'e Stoudemire,Miami Heat,5,PF,33,33,06-Oct,245,,947276.0
Dwyane Wade,Miami Heat,3,SG,34,34,06-Apr,220,Marquette,20000000.0
Briante Weber,Miami Heat,12,PG,23,23,06-Feb,165,Virginia Commonwealth,
Hassan Whiteside,Miami Heat,21,C,26,26,7-0,265,Marshall,981348.0
Justise Winslow,Miami Heat,20,SF,20,20,06-Jul,225,Duke,2481720.0
Dorell Wright,Miami Heat,11,SF,30,30,06-Sep,205,,
Dewayne Dedmon,Orlando Magic,3,C,26,26,7-0,245,USC,947276.0
Evan Fournier,Orlando Magic,10,SG,23,23,06-Jul,205,,2288205.0
Aaron Gordon,Orlando Magic,0,PF,20,20,06-Sep,220,Arizona,4171680.0
Mario Hezonja,Orlando Magic,23,SG,21,21,06-Aug,218,,3741480.0
Ersan Ilyasova,Orlando Magic,7,PF,29,29,06-Oct,235,,7900000.0
Brandon Jennings,Orlando Magic,55,PG,26,26,06-Jan,169,,8344497.0
Devyn Marble,Orlando Magic,11,SF,23,23,06-Jun,200,Iowa,845059.0
Shabazz Napier,Orlando Magic,13,PG,24,24,06-Jan,175,Connecticut,1294440.0
Andrew Nicholson,Orlando Magic,44,PF,26,26,06-Sep,250,St. Bonaventure,2380593.0
Victor Oladipo,Orlando Magic,5,SG,24,24,06-Apr,210,Indiana,5192520.0
Elfrid Payton,Orlando Magic,4,PG,22,22,06-Apr,185,Louisiana-Lafayette,2505720.0
Jason Smith,Orlando Magic,14,PF,30,30,7-0,240,Colorado State,4300000.0
Nikola Vucevic,Orlando Magic,9,C,25,25,7-0,260,USC,11250000.0
C.J. Watson,Orlando Magic,32,PG,32,32,06-Feb,175,Tennessee,5000000.0
Alan Anderson,Washington Wizards,6,SG,33,33,06-Jun,220,Michigan State,4000000.0
Bradley Beal,Washington Wizards,3,SG,22,22,06-May,207,Florida,5694674.0
Jared Dudley,Washington Wizards,1,SF,30,30,06-Jul,225,Boston College,4375000.0
Jarell Eddie,Washington Wizards,8,SG,24,24,06-Jul,218,Virginia Tech,561716.0
Drew Gooden,Washington Wizards,90,PF,34,34,06-Oct,250,Kansas,3300000.0
Marcin Gortat,Washington Wizards,13,C,32,32,06-Nov,240,,11217391.0
JJ Hickson,Washington Wizards,21,C,27,27,06-Sep,242,North Carolina State,273038.0
Nene Hilario,Washington Wizards,42,C,33,33,06-Nov,250,,13000000.0
Markieff Morris,Washington Wizards,5,PF,26,26,06-Oct,245,Kansas,8000000.0
Kelly Oubre Jr.,Washington Wizards,12,SF,20,20,06-Jul,205,Kansas,1920240.0
Otto Porter Jr.,Washington Wizards,22,SF,23,23,06-Aug,198,Georgetown,4662960.0
Ramon Sessions,Washington Wizards,7,PG,30,30,06-Mar,190,Nevada,2170465.0
Garrett Temple,Washington Wizards,17,SG,30,30,06-Jun,195,LSU,1100602.0
Marcus Thornton,Washington Wizards,15,SF,29,29,06-Apr,205,LSU,200600.0
John Wall,Washington Wizards,2,PG,25,25,06-Apr,195,Kentucky,15851950.0
Darrell Arthur,Denver Nuggets,0,PF,28,28,06-Sep,235,Kansas,2814000.0
D.J. Augustin,Denver Nuggets,12,PG,28,28,6-0,183,Texas,3000000.0
Will Barton,Denver Nuggets,5,SF,25,25,06-Jun,175,Memphis,3533333.0
Wilson Chandler,Denver Nuggets,21,SF,29,29,06-Aug,225,DePaul,10449438.0
Kenneth Faried,Denver Nuggets,35,PF,26,26,06-Aug,228,Morehead State,11235955.0
Danilo Gallinari,Denver Nuggets,8,SF,27,27,06-Oct,225,,14000000.0
Gary Harris,Denver Nuggets,14,SG,21,21,06-Apr,210,Michigan State,1584480.0
Nikola Jokic,Denver Nuggets,15,C,21,21,06-Oct,250,,1300000.0
Joffrey Lauvergne,Denver Nuggets,77,C,24,24,06-Nov,220,,1709719.0
Mike Miller,Denver Nuggets,3,SG,36,36,06-Aug,218,Florida,947276.0
Emmanuel Mudiay,Denver Nuggets,0,PG,20,20,06-May,200,,3102240.0
Jameer Nelson,Denver Nuggets,1,PG,34,34,6-0,190,Saint Joseph's,4345000.0
Jusuf Nurkic,Denver Nuggets,23,C,21,21,7-0,280,,1842000.0
JaKarr Sampson,Denver Nuggets,9,SG,23,23,06-Sep,214,St. John's,258489.0
Axel Toupane,Denver Nuggets,6,SG,23,23,06-Jul,210,,
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,28,06-Oct,240,,3950001.0
Gorgui Dieng,Minnesota Timberwolves,5,C,26,26,06-Nov,241,Louisville,1474440.0
Kevin Garnett,Minnesota Timberwolves,21,PF,40,40,06-Nov,240,,8500000.0
Tyus Jones,Minnesota Timberwolves,1,PG,20,20,06-Feb,195,Duke,1282080.0
Zach LaVine,Minnesota Timberwolves,8,PG,21,21,06-May,189,UCLA,2148360.0
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,23,06-Jun,223,UCLA,2056920.0
Adreian Payne,Minnesota Timberwolves,33,PF,25,25,06-Oct,237,Michigan State,1938840.0
Nikola Pekovic,Minnesota Timberwolves,14,C,30,30,06-Nov,307,,12100000.0
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,36,06-Sep,212,Kentucky,947276.0
Ricky Rubio,Minnesota Timberwolves,9,PG,25,25,06-Apr,194,,12700000.0
Damjan Rudez,Minnesota Timberwolves,10,SF,29,29,06-Sep,230,,1149500.0
Greg Smith,Minnesota Timberwolves,4,PF,25,25,06-Oct,250,Fresno State,
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,20,7-0,244,Kentucky,5703600.0
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,21,06-Aug,199,Kansas,5758680.0
Steven Adams,Oklahoma City Thunder,12,C,22,22,7-0,255,Pittsburgh,2279040.0
Nick Collison,Oklahoma City Thunder,4,PF,35,35,06-Oct,255,Kansas,3750000.0
Kevin Durant,Oklahoma City Thunder,35,SF,27,27,06-Sep,240,Texas,20158622.0
Randy Foye,Oklahoma City Thunder,6,SG,32,32,06-Apr,213,Villanova,3135000.0
Josh Huestis,Oklahoma City Thunder,34,SF,24,24,06-Jul,230,Stanford,1140240.0
Serge Ibaka,Oklahoma City Thunder,9,PF,26,26,06-Oct,245,,12250000.0
Enes Kanter,Oklahoma City Thunder,11,C,24,24,06-Nov,245,Kentucky,16407500.0
Mitch McGary,Oklahoma City Thunder,33,PF,24,24,06-Oct,255,Michigan,1463040.0
Nazr Mohammed,Oklahoma City Thunder,13,C,38,38,06-Oct,250,Kentucky,222888.0
Anthony Morrow,Oklahoma City Thunder,2,SG,30,30,06-May,210,Georgia Tech,3344000.0
Cameron Payne,Oklahoma City Thunder,22,PG,21,21,06-Mar,185,Murray State,2021520.0
Andre Roberson,Oklahoma City Thunder,21,SG,24,24,06-Jul,210,Colorado,1210800.0
Kyle Singler,Oklahoma City Thunder,5,SF,28,28,06-Aug,228,Duke,4500000.0
Dion Waiters,Oklahoma City Thunder,3,SG,24,24,06-Apr,220,Syracuse,5138430.0
Russell Westbrook,Oklahoma City Thunder,0,PG,27,27,06-Mar,200,UCLA,16744218.0
Cliff Alexander,Portland Trail Blazers,34,PF,20,20,06-Aug,240,Kansas,525093.0
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,25,06-Sep,215,Wake Forest,8042895.0
Pat Connaughton,Portland Trail Blazers,5,SG,23,23,06-May,206,Notre Dame,625093.0
Allen Crabbe,Portland Trail Blazers,23,SG,24,24,06-Jun,210,California,947276.0
Ed Davis,Portland Trail Blazers,17,C,27,27,06-Oct,240,North Carolina,6980802.0
Maurice Harkless,Portland Trail Blazers,4,SF,23,23,06-Sep,215,St. John's,2894059.0
Gerald Henderson,Portland Trail Blazers,9,SG,28,28,06-May,215,Duke,6000000.0
Chris Kaman,Portland Trail Blazers,35,C,34,34,7-0,265,Central Michigan,5016000.0
Meyers Leonard,Portland Trail Blazers,11,PF,24,24,07-Jan,245,Illinois,3075880.0
Damian Lillard,Portland Trail Blazers,0,PG,25,25,06-Mar,195,Weber State,4236287.0
C.J. McCollum,Portland Trail Blazers,3,SG,24,24,06-Apr,200,Lehigh,2525160.0
Luis Montero,Portland Trail Blazers,44,SG,23,23,06-Jul,185,Westchester CC,525093.0
Mason Plumlee,Portland Trail Blazers,24,C,26,26,06-Nov,235,Duke,1415520.0
Brian Roberts,Portland Trail Blazers,2,PG,30,30,06-Jan,173,Dayton,2854940.0
Noah Vonleh,Portland Trail Blazers,21,PF,20,20,06-Sep,240,Indiana,2637720.0
Trevor Booker,Utah Jazz,33,PF,28,28,06-Aug,228,Clemson,4775000.0
Trey Burke,Utah Jazz,3,PG,23,23,06-Jan,191,Michigan,2658240.0
Alec Burks,Utah Jazz,10,SG,24,24,06-Jun,214,Colorado,9463484.0
Dante Exum,Utah Jazz,11,PG,20,20,06-Jun,190,,3777720.0
Derrick Favors,Utah Jazz,15,PF,24,24,06-Oct,265,Georgia Tech,12000000.0
Rudy Gobert,Utah Jazz,27,C,23,23,07-Jan,245,,1175880.0
Gordon Hayward,Utah Jazz,20,SF,26,26,06-Aug,226,Butler,15409570.0
Rodney Hood,Utah Jazz,5,SG,23,23,06-Aug,206,Duke,1348440.0
Joe Ingles,Utah Jazz,2,SF,28,28,06-Aug,226,,2050000.0
Chris Johnson,Utah Jazz,23,SF,26,26,06-Jun,206,Dayton,981348.0
Trey Lyles,Utah Jazz,41,PF,20,20,06-Oct,234,Kentucky,2239800.0
Shelvin Mack,Utah Jazz,8,PG,26,26,06-Mar,203,Butler,2433333.0
Raul Neto,Utah Jazz,25,PG,24,24,06-Jan,179,,900000.0
Tibor Pleiss,Utah Jazz,21,C,26,26,07-Mar,256,,2900000.0
Jeff Withey,Utah Jazz,24,C,26,26,7-0,231,Kansas,947276.0
